run_key,branch_role,intent,input_chars,branch_chars,char_ratio,input_word_count,branch_word_count,word_ratio,input_token_count,branch_token_count,identical,jaccard
0c548aca-52b9-4c52-90a5-b741810aa77e,original_free,ai_coding_and_infrastructure,59,59,1.0,8,8,1.0,7,7,True,1.0
0c548aca-52b9-4c52-90a5-b741810aa77e,paid_brave,ai_coding_and_infrastructure,59,86,1.4576271186440677,8,10,1.25,7,9,False,0.7777777777777778
0c548aca-52b9-4c52-90a5-b741810aa77e,paid_google,ai_coding_and_infrastructure,59,104,1.7627118644067796,8,13,1.625,7,11,False,0.6363636363636364
0c548aca-52b9-4c52-90a5-b741810aa77e,paid_other,ai_coding_and_infrastructure,59,85,1.4406779661016949,8,10,1.25,7,9,False,0.7777777777777778
0c548aca-52b9-4c52-90a5-b741810aa77e,neural,ai_coding_and_infrastructure,59,115,1.9491525423728813,8,14,1.75,7,14,False,0.23529411764705882
0c548aca-52b9-4c52-90a5-b741810aa77e,specialized,ai_coding_and_infrastructure,59,67,1.1355932203389831,8,8,1.0,7,8,False,0.36363636363636365
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,original_free,ai_coding_and_infrastructure,59,59,1.0,8,8,1.0,7,7,True,1.0
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,paid_brave,ai_coding_and_infrastructure,59,84,1.423728813559322,8,10,1.25,7,9,False,0.7777777777777778
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,paid_google,ai_coding_and_infrastructure,59,106,1.7966101694915255,8,13,1.625,7,10,False,0.4166666666666667
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,paid_other,ai_coding_and_infrastructure,59,85,1.4406779661016949,8,12,1.5,7,9,False,0.7777777777777778
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,neural,ai_coding_and_infrastructure,59,100,1.694915254237288,8,13,1.625,7,12,False,0.26666666666666666
d6f5ebc3-5a11-461d-9848-9a7f48bb9538,specialized,ai_coding_and_infrastructure,59,101,1.7118644067796611,8,12,1.5,7,10,False,0.3076923076923077
b6366318-03cb-426c-a879-118838619933,original_free,ai_coding_and_infrastructure,59,59,1.0,8,8,1.0,7,7,True,1.0
b6366318-03cb-426c-a879-118838619933,paid_brave,ai_coding_and_infrastructure,59,84,1.423728813559322,8,10,1.25,7,9,False,0.7777777777777778
b6366318-03cb-426c-a879-118838619933,paid_google,ai_coding_and_infrastructure,59,106,1.7966101694915255,8,13,1.625,7,10,False,0.4166666666666667
b6366318-03cb-426c-a879-118838619933,paid_other,ai_coding_and_infrastructure,59,85,1.4406779661016949,8,12,1.5,7,9,False,0.7777777777777778
b6366318-03cb-426c-a879-118838619933,neural,ai_coding_and_infrastructure,59,100,1.694915254237288,8,13,1.625,7,12,False,0.26666666666666666
b6366318-03cb-426c-a879-118838619933,specialized,ai_coding_and_infrastructure,59,101,1.7118644067796611,8,12,1.5,7,10,False,0.3076923076923077
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,original_free,ai_coding_and_infrastructure,88,88,1.0,9,9,1.0,9,9,True,1.0
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,paid_brave,ai_coding_and_infrastructure,88,91,1.0340909090909092,9,12,1.3333333333333333,9,11,False,0.25
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,paid_google,ai_coding_and_infrastructure,88,108,1.2272727272727273,9,14,1.5555555555555556,9,14,False,0.09523809523809523
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,paid_other,ai_coding_and_infrastructure,88,88,1.0,9,12,1.3333333333333333,9,11,False,0.25
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,neural,ai_coding_and_infrastructure,88,85,0.9659090909090909,9,11,1.2222222222222223,9,10,False,0.26666666666666666
71afc7ef-6a47-4ec1-960d-9100a35b3ebb,specialized,ai_coding_and_infrastructure,88,89,1.0113636363636365,9,11,1.2222222222222223,9,10,False,0.35714285714285715
6e615698-e56c-4c2f-8e86-dd0fba584b32,original_free,ai_coding_and_infrastructure,62,62,1.0,9,9,1.0,8,8,True,1.0
6e615698-e56c-4c2f-8e86-dd0fba584b32,paid_brave,ai_coding_and_infrastructure,62,98,1.5806451612903225,9,13,1.4444444444444444,8,12,False,0.5384615384615384
6e615698-e56c-4c2f-8e86-dd0fba584b32,paid_google,ai_coding_and_infrastructure,62,126,2.032258064516129,9,17,1.8888888888888888,8,16,False,0.4117647058823529
6e615698-e56c-4c2f-8e86-dd0fba584b32,paid_other,ai_coding_and_infrastructure,62,100,1.6129032258064515,9,14,1.5555555555555556,8,13,False,0.6153846153846154
6e615698-e56c-4c2f-8e86-dd0fba584b32,neural,ai_coding_and_infrastructure,62,130,2.096774193548387,9,17,1.8888888888888888,8,16,False,0.4117647058823529
6e615698-e56c-4c2f-8e86-dd0fba584b32,specialized,ai_coding_and_infrastructure,62,120,1.935483870967742,9,18,2.0,8,17,False,0.3888888888888889
c7d0cb6d-894f-4700-a9b7-0403d342e600,original_free,ai_coding_and_infrastructure,91,91,1.0,13,13,1.0,13,13,True,1.0
c7d0cb6d-894f-4700-a9b7-0403d342e600,paid_brave,ai_coding_and_infrastructure,91,117,1.2857142857142858,13,17,1.3076923076923077,13,17,False,0.5
c7d0cb6d-894f-4700-a9b7-0403d342e600,paid_google,ai_coding_and_infrastructure,91,119,1.3076923076923077,13,18,1.3846153846153846,13,18,False,0.4090909090909091
c7d0cb6d-894f-4700-a9b7-0403d342e600,paid_other,ai_coding_and_infrastructure,91,116,1.2747252747252746,13,17,1.3076923076923077,13,17,False,0.36363636363636365
c7d0cb6d-894f-4700-a9b7-0403d342e600,neural,ai_coding_and_infrastructure,91,90,0.989010989010989,13,13,1.0,13,13,False,0.3684210526315789
c7d0cb6d-894f-4700-a9b7-0403d342e600,specialized,ai_coding_and_infrastructure,91,111,1.2197802197802199,13,16,1.2307692307692308,13,16,False,0.38095238095238093
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,original_free,ai_coding_and_infrastructure,83,83,1.0,13,13,1.0,13,13,True,1.0
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,paid_brave,ai_coding_and_infrastructure,83,126,1.5180722891566265,13,16,1.2307692307692308,13,16,False,0.38095238095238093
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,paid_google,ai_coding_and_infrastructure,83,108,1.3012048192771084,13,14,1.0769230769230769,13,14,False,0.35
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,paid_other,ai_coding_and_infrastructure,83,108,1.3012048192771084,13,15,1.1538461538461537,13,15,False,0.3333333333333333
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,neural,ai_coding_and_infrastructure,83,147,1.7710843373493976,13,20,1.5384615384615385,13,20,False,0.17857142857142858
5c010dee-f8ac-4b90-bbde-11ed5837ddd5,specialized,ai_coding_and_infrastructure,83,147,1.7710843373493976,13,18,1.3846153846153846,13,18,False,0.4090909090909091
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,original_free,general,72,72,1.0,8,8,1.0,8,8,True,1.0
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,paid_brave,general,72,74,1.0277777777777777,8,8,1.0,8,8,False,1.0
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,paid_google,general,72,74,1.0277777777777777,8,8,1.0,8,8,False,1.0
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,paid_other,general,72,74,1.0277777777777777,8,8,1.0,8,8,False,1.0
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,neural,general,72,135,1.875,8,21,2.625,8,21,False,0.3181818181818182
01b2cda2-a67f-4d20-adc9-94b1bd6fd512,specialized,general,72,83,1.1527777777777777,8,10,1.25,8,10,False,0.6363636363636364
ff8bd0b6-7443-4449-bb30-9318db20262b,original_free,ai_coding_and_infrastructure,29,29,1.0,4,4,1.0,4,4,True,1.0
